id,Country,Namespace,Reporting year,Network,Network name,Measurement station,Station EoI code,Measurement station name,Sampling point,Used for AQD,Data aggregation process,Data reporting metric,Objective type,Protection target,Air pollutant,Air pollution level,Exceedance threshold,Unit,Data coverage [%],Data verification,Type of station,Area of station,Latitude of station,Longitude of station,Zone code,Zone description,Type of zone
2014#Romania.PM10.P1Y.MO.SPO-RO0066A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0066A,RO0066A,"B2 Titan",SPO-RO0066A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,28.66,,ug.m-3,91.23,Verified,Industrial,Urban,44.411114,26.184734,RO32101,Bucuresti,Agglomeration
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0068A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0068A,RO0068A,"B4 Berceni",SPO-RO0068A_00005_100,YES,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,45,50,ug.m-3,86.03,Verified,Industrial,Urban,44.395836,26.148348,RO32101,Bucuresti,Agglomeration
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0070A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0070A,RO0070A,"B6 Cercul Militar",SPO-RO0070A_00005_100,NO,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,56,50,ug.m-3,86.3,Verified,Traffic,Urban,44.42889,26.120836,,,
2014#Romania.PM10.P1Y-P1D-per90.41.LV.SPO-RO0070A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0070A,RO0070A,"B6 Cercul Militar",SPO-RO0070A_00005_100,NO,1 year 90.41 percentile,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,56,50,ug.m-3,86.3,Verified,Traffic,Urban,44.42889,26.120836,,,
2014#Romania.PM10.P1Y-daysAbove50.LV.SPO-RO0071A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0071A,RO0071A,"B7 Magurele",SPO-RO0071A_00005_100,YES,1 year day exceed 50,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,10,50,count,70.41,Verified,Background,Suburban,44.348888,26.033613,RO32299,Ilfov,Non-agglomeration
2014#Romania.PM10.P1Y-P1D-per90.41.LV.SPO-RO0071A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0071A,RO0071A,"B7 Magurele",SPO-RO0071A_00005_100,YES,1 year 90.41 percentile,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,41,50,ug.m-3,70.41,Verified,Background,Suburban,44.348888,26.033613,RO32299,Ilfov,Non-agglomeration
2014#Romania.CO.P1Y-8hdmxAbove10.LV.SPO-RO0072A_00010_100,Romania,RO.ANPM.AQ,2014,NET-RO016A,"Bucuresti_RNMCA",STA-RO0072A,RO0072A,"B8 Balotesti",SPO-RO0072A_00010_100,YES,1 year daymax exceed 10,Days in exceedance in a calendar year,Limit Value (LV),Health,CO,0,0,count,63.01,Verified,Background,Rural-Regional,44.616665,26.116667,RO32299,Ilfov,Non-agglomeration
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0075A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO017A,"Cluj",STA-RO0075A,RO0075A,"CJ-3",SPO-RO0075A_00005_100,YES,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,46.6,50,ug.m-3,72.6,Verified,Background,Urban,46.765278,23.550278,RO11301,Cluj-Napoca,Agglomeration
2014#Romania.SO2.P1Y-3hAbove500.ALT.SPO-RO0078A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO018A,"Craiova",STA-RO0078A,RO0078A,"DJ-1",SPO-RO0078A_00001_100,YES,3 consecutive hours in exceedance of 500,Three consecutive hours in exceedance,Alert threshold (ALT),Health,SO2,0,,count,93.89,Verified,Traffic,Urban,44.318611,23.806116,RO41101,Craiova,Agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0078A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO018A,"Craiova",STA-RO0078A,RO0078A,"DJ-1",SPO-RO0078A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,20.34,40,ug.m-3,73.97,Verified,Traffic,Urban,44.318611,23.806116,,,
